@relation kd100-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {18-30,>60,41-50,31-40,51-60}
@attribute Kinder {ja,nein}
@attribute Familienstand {ledig,Partnerschaft}
@attribute Berufstaetig {ja,nein}
@attribute Einkaufstag {Freitag,Samstag,Dienstag,Montag,Mittwoch,Donnerstag}
@attribute Einkaufsuhrzeit {'>17 Uhr','12-14 Uhr','<10 Uhr','10-12 Uhr','14-17 Uhr'}
@attribute Wohnort {'< 10 km','10 - 25 km','> 25 km'}
@attribute Haushaltsnettoeinkommen {3200-<4500,<1000,1000-<2000,2000-<3200,>4500}
@attribute Einkaufssumme numeric
@attribute Fertiggerichte numeric
@attribute Tiefkuehlware numeric
@attribute Milchprodukte numeric
@attribute Backwaren numeric
@attribute Obst/Gemuese numeric
@attribute Spirituosen numeric
@attribute Tiernahrung numeric
@attribute Bier numeric
@attribute Frischfleisch numeric
@attribute Drogerieartikel numeric
@attribute Konserven numeric
@attribute Kaffee/Tee numeric
@attribute Suessigkeiten numeric
@attribute Wurstwaren numeric
@attribute Schreibwaren numeric

@data
w,18-30,ja,ledig,ja,Freitag,'>17 Uhr','< 10 km',3200-<4500,53,?,?,12,16,?,?,?,?,?,14,?,?,?,7,4
m,>60,nein,ledig,ja,Samstag,'12-14 Uhr','< 10 km',3200-<4500,146,8,?,10,?,8,?,24,?,?,?,9,45,?,?,42
w,18-30,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',<1000,72,?,?,?,?,?,?,?,?,72,?,?,?,?,?,?
m,41-50,ja,Partnerschaft,ja,Samstag,'>17 Uhr','< 10 km',1000-<2000,78,5,?,?,14,?,?,?,?,?,?,10,?,?,?,49
w,>60,ja,ledig,nein,Samstag,'12-14 Uhr','< 10 km',<1000,201,?,?,?,9,?,2,6,12,?,?,?,49,42,?,81
m,18-30,nein,Partnerschaft,ja,Samstag,'10-12 Uhr','< 10 km',1000-<2000,209,9,?,?,?,?,1,126,18,12,?,7,36,?,?,?
w,>60,nein,ledig,nein,Freitag,'10-12 Uhr','10 - 25 km',<1000,77,?,?,?,19,?,10,1,40,?,?,?,7,?,?,?
w,18-30,ja,Partnerschaft,nein,Samstag,'10-12 Uhr','10 - 25 km',1000-<2000,145,40,30,?,?,?,?,?,?,75,?,?,?,?,?,?
m,18-30,nein,Partnerschaft,nein,Dienstag,'14-17 Uhr','10 - 25 km',<1000,365,2,?,?,?,20,12,?,18,114,28,85,?,54,32,?
w,18-30,ja,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,177,9,?,28,?,?,?,?,?,?,?,?,20,?,66,54
m,31-40,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',3200-<4500,97,12,?,24,?,?,?,16,?,?,?,1,?,24,?,20
m,18-30,nein,ledig,nein,Montag,'14-17 Uhr','< 10 km',1000-<2000,59,11,?,?,?,?,14,?,17,8,?,9,?,?,?,?
w,31-40,nein,ledig,nein,Mittwoch,'<10 Uhr','< 10 km',<1000,192,?,?,12,?,?,?,180,?,?,?,?,?,?,?,?
w,>60,nein,ledig,nein,Samstag,'14-17 Uhr','10 - 25 km',2000-<3200,60,?,?,21,5,?,9,22,?,?,?,?,3,?,?,?
w,>60,nein,Partnerschaft,nein,Montag,'<10 Uhr','< 10 km',<1000,170,?,64,?,19,?,11,25,46,?,?,?,?,5,?,?
w,18-30,nein,ledig,ja,Mittwoch,'<10 Uhr','10 - 25 km',<1000,134,?,?,?,?,32,?,?,?,?,?,?,49,32,?,21
